Instrument,Company Name,Sector,Clusters,Valuation Score,Fundamental Score,Momentum Score,Short Term Score,Long Term Score
BCC.N,BOISE CASCAD LLC,Industrials,1,75.29,43.919999999999995,46.23,50.239999999999995,57.04
HSC.N,HARSCO CORP,Industrials,0,47.83,40.22,25.09,30.769999999999996,39.48
SYX.N,SYSTEMAX INC,Industrials,2,50.080000000000005,48.35,85.45,74.58,58.32000000000001
EFX.N,EQUIFAX INC,Industrials,1,45.26,73.22999999999999,47.839999999999996,51.25999999999999,55.7
CXW.N,CORECIVIC INC,Industrials,1,83.09,48.35,15.27,30.4,53.97
TRN.N,TRINITY INDS INC,Industrials,0,47.47,42.02,55.16,52.04,47.48
KNL.N,KNOLL INC,Industrials,0,58.86,48.35,17.82,28.560000000000002,44.92
ROL.N,ROLLINS,Industrials,2,42.78,48.35,70.28999999999999,62.870000000000005,51.61
AOS.N,A O SMITH,Industrials,1,51.44,59.57,52.790000000000006,53.61,54.620000000000005
ENS.N,ENERSYS,Industrials,0,52.86,38.81,46.089999999999996,46.01,46.25
AGCO.N,AGCO CRP,Industrials,1,58.4,62.03999999999999,64.12,62.949999999999996,61.1
MAS.N,MASCO CORP,Industrials,1,56.38999999999999,63.57000000000001,43.19,48.230000000000004,55.60000000000001
TTEK.OQ,TETRA TECH INC,Industrials,2,47.12,67.95,63.44,61.67,58.489999999999995
WNC.N,WABASH NATL CORP,Industrials,0,38.83,48.35,42.22,42.63,43.01
AMSC.OQ,AMERICAN SUP ORD,Industrials,2,31.85,48.35,44.26,43.01,40.73
RLGT.A,RADIANT LOGISTIC,Industrials,1,58.58,48.35,45.65,47.99,51.76
GATX.N,GATX CORPORATION,Industrials,0,56.11000000000001,48.35,49.25,50.14999999999999,51.68000000000001
REZI.N,RESIDEO TCHNLGS,Industrials,4,53.49,47.099999999999994,71.02000000000001,64.8,55.64
APT.A,ALPHA PRO TECH,Industrials,1,61.78,48.35,45.12,48.1,52.910000000000004
POWL.OQ,POWELL INDS,Industrials,1,69.36,48.35,23.66,34.22,50.580000000000005
FLS.N,FLOWSERVE CP,Industrials,0,54.97,32.17,24.84,30.459999999999997,39.45
ALSN.N,ALLISON TRNS HLD,Industrials,0,60.56,39.6,35.32,39.75,46.910000000000004
GGG.N,GRACO,Industrials,2,47.370000000000005,64.28,58.9,57.98,56.169999999999995
UPS.N,UNITED PARCEL B,Industrials,1,48.68,67.88,59.34,59.019999999999996,58.06
CBZ.N,CBIZ,Industrials,1,58.07,48.35,43.44,46.37,51.01
DSKE.OQ,DASEKE INC,Industrials,1,62.19,48.35,56.19,55.92,55.85
BWXT.N,BWX TECHNOLOGIES,Industrials,0,52.300000000000004,46.589999999999996,35.589999999999996,39.739999999999995,46.12
ST.N,SENSATA TECHNLGY,Industrials,0,50.5,52.559999999999995,37.12,41.44,47.870000000000005
XYL.N,XYLEM INC,Industrials,2,46.35,87.66000000000001,50.36000000000001,55.35,61.809999999999995
ARRY.OQ,ARRAY TCHNLG ORD,Industrials,2,49.54,52.89,47.870000000000005,48.88,50.3
CFX.N,COLFAX CRP,Industrials,0,54.58,26.05,32.61,34.92,39.1
ATSG.OQ,AIR TRNSPORT SVC,Industrials,0,58.040000000000006,48.809999999999995,50.449999999999996,51.339999999999996,52.910000000000004
NPO.N,ENPRO INDS INC,Industrials,1,57.52,48.35,41.05,44.62,50.19
GVA.N,GRANITE CONSTR,Industrials,4,34.01,48.35,42.76,42.28,41.21
DLX.N,DELUXE CORP,Industrials,1,62.150000000000006,48.35,26.82,35.35,48.49
NL.N,N L INDS INC,Industrials,1,66.06,47.96,56.089999999999996,56.37,57.230000000000004
MTOR.N,MERITOR INC,Industrials,1,69.16,48.35,38.690000000000005,44.71,54.26
HON.N,HONEYWELL INTL,Industrials,1,50.24999999999999,55.00000000000001,44.98,47.27,50.59
GENC.OQ,GENCOR INDUSTRS,Industrials,1,64.24,48.35,46.64,49.53,54.279999999999994
GPX.N,GP STRATEGIES,Industrials,1,59.58,48.35,37.1,42.16,50.029999999999994
AQUA.N,EVOQUA WTR TCHNG,Industrials,0,49.49,52.019999999999996,43.309999999999995,45.540000000000006,48.83
VRSK.OQ,VERISK ANLYTCS,Industrials,2,45.75,54.620000000000005,50.78,50.6,50.11
RUSHB.OQ,RUSH ENTRPRS B,Industrials,1,57.49999999999999,48.35,51.21,51.72,52.72
LII.N,LENNOX INTL INC,Industrials,2,47.77,45.82,48.47,47.97,47.260000000000005
MIC.N,MACQUARIE LLC,Industrials,0,50.23,48.35,35.54,39.660000000000004,45.9
KMT.N,KENNAMETAL INC,Industrials,0,49.419999999999995,41.89,33.800000000000004,37.35,42.88
JCI.N,JOHNSN CNTRL INT,Industrials,2,53.31,52.01,51.300000000000004,51.71,52.349999999999994
AME.N,AMETEK,Industrials,2,49.36,54.6,45.35,47.339999999999996,50.19
AIN.N,ALBANY INTL,Industrials,1,57.940000000000005,48.39,37.25,42.02,49.419999999999995
CSGP.OQ,COSTAR GROUP,Industrials,2,41.06,62.99,59.07,56.96,53.239999999999995
NPK.N,NATL PRESTO INDS,Industrials,1,65.34,48.35,48.699999999999996,51.13999999999999,55.230000000000004
NOC.N,NORTHROP GRUMMAN,Industrials,0,58.10999999999999,50.56,36.32,41.72,50.019999999999996
IR.N,INGERSOL RND ORD,Industrials,0,42.699999999999996,33.37,43.7,42.0,39.69
JELD.N,JELD WEN HLD INC,Industrials,0,55.13,42.28,33.129999999999995,37.8,45.129999999999995
GTES.N,GATES INDSTL CRP,Industrials,0,53.769999999999996,30.17,42.34,42.230000000000004,42.65
CIX.A,COMPX INTERNATL,Industrials,1,75.22,48.35,44.72,49.84,58.19
AMRC.N,AMERSCO CL A,Industrials,2,44.11,40.52,44.26,43.68,42.9
BLDR.OQ,BUILDERS FIRST,Industrials,4,48.17,44.379999999999995,54.059999999999995,51.72,48.309999999999995
MLR.N,MILLER INDS,Industrials,1,65.98,48.35,46.949999999999996,50.019999999999996,55.05
UBER.N,UBER TCHNLGS INC,Industrials,4,27.35,48.35,69.41000000000001,59.940000000000005,45.21
