,Instrument,GICS Sector Name,Return On Invested Capital - Mean,"Weighted Average Cost of Capital, (%)",Return On Equity - Mean,"WACC Cost of Equity, (%)",Long Term Growth - Mean,"Total Debt to Total Capital, Percent"
0,BCC.N,Industrials,8.8,11.1292918674175,16.1,13.733695389581001,,39.815136622
1,ASPS.OQ,Real Estate,,5.1580500575388,,7.62648390546929,,108.013131976
2,CIT.N,Financials,,6.223459265871191,6.973669999999999,10.405592501114599,,
3,MSCI.N,Financials,44.76667,6.4925687163995995,-172.69,6.8561506645125805,13.2,
4,FIS.N,Information Technology,6.9,5.27717888717069,6.4638599999999995,6.400784921695089,10.74067,28.991500115
5,FMNB.OQ,Financials,,5.933342407640639,10.16667,7.0541490568517995,,
6,HSC.N,Industrials,,8.896028498780211,7.7,15.5083138004199,10.0,49.750297492
7,KALV.OQ,Health Care,,12.8407504620932,,12.8578278898138,,0.0
8,DRNA.OQ,Health Care,,7.971307428044669,,7.88487105891795,,0.0
9,NERV.OQ,Health Care,,9.525011516579669,,9.487906355209331,,0.0
10,PLYM.N,Real Estate,,6.5112100760235405,13.4,8.866284066083779,,62.017248078
11,EEX.N,Communication Services,,5.15242678652279,9.845,13.4695794565871,,45.542701599
12,JBSS.OQ,Consumer Staples,,2.3512095900902,,2.3655217274001603,,17.077500331
13,AMC.N,Communication Services,,4.50205202509207,27.0205,8.99942441694232,,79.988463123
14,AVYA.N,Information Technology,15.8,5.19588485674601,-20.57333,8.957866802656302,,88.85827976739999
15,COLB.OQ,Financials,,6.725720811736459,6.40525,6.89812110875806,,
16,ALRM.OQ,Information Technology,,8.28958717723717,99.699,8.6024115031422,,14.655900396
17,ATLO.OQ,Financials,,4.98842016441828,,5.74833412328578,,
18,SAM.N,Consumer Staples,23.0,5.970423446995389,26.44875,5.90388820467208,46.6855,0.35057109999999997
19,ACCD.OQ,Health Care,,10.210331071002999,-8.3945,10.219677834834599,26.1,
20,IRTC.OQ,Health Care,,11.615971640521801,-7.475,11.740486564806302,,20.50756713
21,IIN.OQ,Health Care,,8.8389831857814,,8.82455838614993,,0.144554914
22,EXC.OQ,Utilities,5.1,3.03248075878159,8.4365,4.06906679041893,3.7353300000000003,52.228762505
23,SYX.N,Industrials,,4.30644654984706,,4.35306215992882,,0.0
24,AAOI.OQ,Information Technology,,8.34535867508908,-5.3,12.1095848942859,,32.759310878
25,EXTN.N,Energy,-1.1,5.03048223677042,-13.9,7.73578571166244,,51.995545787
26,EFX.N,Industrials,26.33333,7.926116253235179,20.74322,9.29829110509011,9.501,56.325035383999996
27,ORIC.OQ,Health Care,,7.50254079202515,-31.7,7.54318856110175,,0.0
28,CVET.OQ,Health Care,,9.28552305212432,8.189,12.759605040139899,,48.389726865
29,CXW.N,Industrials,,5.549009797281371,,9.4412365221204,,58.931921949
30,TRN.N,Industrials,,5.1477415203155195,5.05,10.4167061935553,,67.236392684
31,NTST.N,Real Estate,,4.70965976031769,,5.0877021606971695,29.9,40.791612427
32,KNL.N,Industrials,,8.42014030801182,,13.143672937481899,,51.053113553
33,MGTX.OQ,Health Care,,10.161926546734,,10.1910194092113,,0.0
34,GALT.OQ,Health Care,,13.617400352892899,,13.6439674371125,,0.0
35,AXTI.OQ,Information Technology,,15.225604734306,,15.475814200676998,,2.895082843
36,ROL.N,Industrials,,4.04122990705496,,4.10477686369431,,17.7391729875
37,CNNE.N,Financials,,5.27622890083631,,5.387887925894559,,7.670951777000001
38,AOS.N,Industrials,,7.589344075299049,23.09,7.61933875357949,,5.771093550900001
39,EEFT.OQ,Information Technology,,8.80802168863983,16.8,11.6350539717164,,57.261438411
40,DKS.N,Consumer Discretionary,13.4,11.0143049919615,20.31189,11.757634164045902,13.036669999999999,11.45882442
41,IAC.OQ,Communication Services,4.5,8.751006220755361,1.1761700000000002,8.97806055963984,,8.798760548999999
42,CVX.N,Energy,-1.8,7.6986555999693795,6.991289999999999,9.33157389892132,-1.45033,
43,PACK.N,Materials,,4.8687638506857995,,5.72012052225099,,44.150388574
44,ENS.N,Industrials,4.1,8.36026499914932,5.3,10.254659332717699,,46.900980738
45,BANF.OQ,Financials,,9.95702057732282,10.8,9.936032858905119,,
46,GAN.OQ,Consumer Discretionary,,8.636211581994571,2.4115,8.593534259250719,,7.5142384714
47,AGCO.N,Industrials,11.85,7.893685594539581,15.820379999999998,9.0377700561335,15.612,34.8783013982
48,DK.N,Energy,-3.0,6.24840318788895,-13.544,13.7606598704545,-16.4,52.9699672
49,HPE.N,Information Technology,6.7,4.90798253055387,12.085999999999999,9.60443181764382,3.11767,49.7580922059
50,PNC.N,Financials,,6.90811834334203,10.327,9.49598100969293,,
51,PFBC.OQ,Financials,,9.37571314187914,13.462,10.278241028012301,,
52,XPEL.OQ,Consumer Discretionary,,8.7092629078624,,8.80810495277783,,2.157743436
53,KRNY.OQ,Financials,,4.151064903246439,5.275,5.81778256572357,,
54,SUI.N,Real Estate,,4.13711412091329,,4.5600310941451205,,46.513511982
55,TSLA.OQ,Consumer Discretionary,35.8,13.590922200527,20.104779999999998,13.8452029325771,316.57567,33.1441639844
56,CDAY.N,Information Technology,1.8,8.85717523166038,3.3143300000000004,9.30776168892837,11.440999999999999,26.455419239
57,CLBK.OQ,Financials,,4.09037307952769,6.49,4.7787369322087905,,
58,CBB.N,Communication Services,,3.37015834487812,5.17,3.86501989045864,,107.84929356399999
59,FCAP.OQ,Financials,,2.26480299931242,,2.19056351571533,,
60,WRE.N,Real Estate,,5.3713343994031595,-0.2,7.244521607138231,,43.784162958
61,CDNS.OQ,Information Technology,16.3,7.45890614983359,24.803,7.607547612467151,14.7,14.129493370999999
62,KEY.N,Financials,,6.7225016904001995,10.30167,10.5823386908415,,
63,RYAM.N,Materials,,6.80904357955886,,24.6819783463822,,61.313267696000004
64,SILK.OQ,Health Care,,9.45976834770295,-22.1,9.637541979418618,,38.433673033000005
