,Instrument,GICS Sector Name,Income Avail to Cmn Shareholders Excl Extra,EBITDA,EBIT,Total Equity,Company Market Cap,Enterprise Value (Daily Time Series)
0,BCC.N,Industrials,163625000.0,360192000.0,262371000.0,701330000,2000046550.52,1971617550.52
1,ASPS.OQ,Real Estate,-364354000.0,16348000.0,-14362000.0,-22826000,174963746.62,367820746.62
2,CIT.N,Financials,-646400000.0,1214900000.0,862000000.0,5722900000,4198693996.21,5449293996.21001
3,MSCI.N,Financials,595522000.0,971510000.0,884764000.0,,35042220259.2,37105145259.2
4,FIS.N,Information Technology,157000000.0,5397000000.0,1683000000.0,49300000000,82794492386.32,98507492386.3201
5,FMNB.OQ,Financials,41876000.0,66698000.0,64049000.0,350097000,403982074.92,228267074.92
6,HSC.N,Industrials,-22954000.0,191453000.0,36095000.0,741580000,1493092725.52,2720749725.52
7,KALV.OQ,Health Care,-37115000.0,-48380000.0,-48905000.0,83752000,280077211.26,224203211.26
8,DRNA.OQ,Health Care,-115831000.0,-120879000.0,-122922000.0,152195000,2111012924.48,1501099924.48
9,NERV.OQ,Health Care,-20652220.0,-23203760.0,-23221240.0,27779540,150640953.23,118125123.23
10,PLYM.N,Real Estate,-27739000.0,56858000.0,4182000.0,236658000,378878389.89,910731389.89
11,EEX.N,Communication Services,-650800000.0,-18000000.0,-68000000.0,640200000,332199162.0,527599162.000001
12,JBSS.OQ,Consumer Staples,56420000.0,99486000.0,81688000.0,238238000,1017608653.75,1043121653.75
13,AMC.N,Communication Services,-3656800000.0,-471700000.0,-950300000.0,1214200000,2095473253.56,7630773253.56
14,AVYA.N,Information Technology,,,,364000000,2166942009.33,4470942009.33
15,COLB.OQ,Financials,,,,2347607000,3082622672.85,2972674672.85001
16,ALRM.OQ,Information Technology,74921000.0,96083000.0,69265000.0,355651000,4977508395.85,4852043395.85
17,ATLO.OQ,Financials,17951640.0,,,209486430,210096863.41,217839293.41
18,SAM.N,Consumer Staples,146638000.0,297604000.0,234048000.0,735636000,14095893999.04,13943201999.04
19,ACCD.OQ,Health Care,-48065000.0,-35020000.0,-43212000.0,-23773000,3009051810.18,2590113810.18
20,IRTC.OQ,Health Care,-51479000.0,-45708000.0,-51818000.0,135409000,5195988737.52,4903697737.52
21,IIN.OQ,Health Care,-2849000.0,2639000.0,-1501000.0,90745000,188257938.5,158053938.5
22,EXC.OQ,Utilities,2376000000.0,9661000000.0,3975000000.0,32224000000,42671539531.62,82192539531.62
23,SYX.N,Industrials,59100000.0,81600000.0,77400000.0,175500000,1641656550.8,1563256550.8
24,AAOI.OQ,Information Technology,-80442000.0,-8803000.0,-33135000.0,273794000,283526875.64,386725875.64
25,EXTN.N,Energy,-149389000.0,142838000.0,-3937000.0,409538000,160665828.75,649103828.75
26,EFX.N,Industrials,441900000.0,937900000.0,554200000.0,2578600000,21823962556.55,24703562556.55
27,ORIC.OQ,Health Care,-53798000.0,-40698000.0,-41704000.0,87974000,1210161524.0,1023551524.0
28,CVET.OQ,Health Care,-104000000.0,89000000.0,-77000000.0,1256000000,4775480903.55,5651480903.55001
29,CXW.N,Industrials,122934000.0,393858000.0,242618000.0,1376749000,912809068.08,2735954068.08
30,TRN.N,Industrials,-172300000.0,575700000.0,303100000.0,2030100000,3624629403.0,8715229403.00001
31,NTST.N,Real Estate,,21992000.0,3926000.0,164533000,487117454.16,605892454.16
32,KNL.N,Industrials,17300000.0,132900000.0,89600000.0,427600000,841322079.8,1298422079.8
33,MGTX.OQ,Health Care,-53011910.0,-51288920.0,-54779240.0,190802100,706152986.37,527068596.37
34,GALT.OQ,Health Care,-20887000.0,-20800000.0,-20800000.0,45595000,136984932.0,106678932.0
35,AXTI.OQ,Information Technology,-920000.0,3542000.0,-778999.999999999,187885000,510055000.0,496576000.000001
36,ROL.N,Industrials,260824000.0,449730000.0,361401000.0,941360000,18303143388.99,18407666388.99
37,CNNE.N,Financials,,-106200000.0,-149800000.0,1488500000,3737741671.1,3414141671.1
38,AOS.N,Industrials,344900000.0,538900000.0,458900000.0,1848300000,9910891477.08,9334491477.08002
